Image,Image_URL,Dead Biomass,Dead Wood,Unknow Grass,VIRO,PHAU,VICR,CAIR,ROBL,CALE,POPR,POCO,GLHE,SAIN,VIRI,BRIN,ROPA,PLLA,SPAL,PHOP,Unk ROSA,SOCA,DACA,CAST,HYPE,TOJA,PASA,PIGL,SODU,GERO,RHCA,EQPR,MACA,POPU,Unk Fungus,AGGI,SOAR,MELU,EQAR,CANU,TUFA,Droppings,SOGI,CANU,ACSA (II),TSCA,FRAM,HENO,Bare soil,Canopy ACSA,Canopy TSCA,Canopy FAGR,PRIN,MOSS,Unknown sedge,Mulch,Temp Sensor,TOAF,CEOC,JUCO,SYNO,SOAL,MEAL,ANSY,COSE,ROPS,TAVU,CIIN,TRPR,SYER,Roderd Guard,ERST,SOSP,GEAL,ELCA,JUNI,BRJA,CEFO,PHPR,GELA,PDPR,PODE,BOIN,ALPE,BARO,IMCA,IMGL,ACNE,PAQU,TOTAL_DEAD_BIOMASS,Living_Biomass
IMG_S21_H9,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S21_H9.jpg,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,31,0,72,80,111
IMG_S24_I7,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S24_I7.jpg,64.5,0,17,2,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,35
IMG_S24_G8,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S24_G8.jpg,68.5,0,0,2.5,0,3,0,0,0,0,0,0,0,0,32.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5,42
IMG_S24_E5,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S24_E5.jpg,73.5,0,7,1,0,0,0,0,0,0,0,0,0,0,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,40
IMG_S24_D3,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S24_D3.jpg,60,0,9.5,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,41.5
IMG_S24_A10,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S24_A10.jpg,33.5,0,11,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,69.5
IMG_S25_I7,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S24_I7.jpg,32.5,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,9.5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,6,0,0,0,1,0,0,0,0,0,0,32.5,14,10.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,111
IMG_S25_H5,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S25_H5.jpg,21,0,7,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,17.5,0,0,0,0,0,0,0,0,0,25,5.5,20,0,4,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,121.5
IMG_S25_D6,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S25_D6.jpg,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,8.5,0,0,0,7,0,0,5,0,0,0,0,0,0,40,7,12.5,0,0,20,11,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,10,136.5
IMG_S25_E10,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S25_E10.jpg,20,0,0,0,0,0,0,0,0,5.5,0,0,0,6.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,10,0,0,0,15,0,0,4,0,0,0,0,0,0,0,1.5,3,0,0,30,3,4,24.5,2,2,0,0,0,15,0,0,0,0,0,0,0,20,155
IMG_S25_B1,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S25_B1.jpg,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,20,0,0,0,17.5,0,0,7,0,0,0,0,0,0,1.5,15,3.5,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,10,105.5
IMG_S27_A2,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S27_A2.jpg,82.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,25
IMG_S27_D7,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S27_D7.jpg,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,18.5
IMG_S27_E2,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S27_E2.jpg,90,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
IMG_S27_G3,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S27_G3.jpg,90.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.5,0
IMG_S27_I1,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S27_I2.jpg,95,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5,5
IMG_S30_E10,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S30_E10.jpg,96,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,17.5
IMG_S31_A4,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S31_A4.jpg,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.5,0,0,0,0,0,0,0,0,0,0,0,0,13.5,7,2.5,52.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,176
IMG_S31_C2,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S31_C2.jpg,65,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,67.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,126.5
IMG_S31_f9,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S31_f9.jpg,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,30,0,23,20.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,137.5
IMG_S31_H3,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S31_H3.jpg,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,3,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,55,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,108
IMG_S31_J1,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S31_J1.jpg,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76
IMG_S32_B6,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S32_B6.jpg,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.25,0,0.75,1,20,55,12.5,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,93.5
IMG_S32_C5,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S32_C5.jpg,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.75,0,0,1,15,27.5,35,7.5,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,89.25
IMG_S32_F6,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S32_F6.jpg,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,35,60,30,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,126.25
IMG_S32_H10,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S32_H10.jpg,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,3,0,5.75,0.75,30,50,0,22.5,13.5,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,127
IMG_S32_I7,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S32_I7.jpg,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,60,60,0,65,0,7,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,193
IMG_S33_B5,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S33_B5.jpg,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,95,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5,10
IMG_S33_C6,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S33_C6.jpg,0,0,2.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,95.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,8
IMG_S33_E7,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S33_E7.jpg,2.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6.5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,13
IMG_S33_H6,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S33_H6.jpg,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,98.5,6.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5,3.75
IMG_S33_I3,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S33_J3.jpg,3.5,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,95,6.5,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5,9.75
IMG_S34_B2,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S34_B2.jpeg,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,91
IMG_S34_D9,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S34_D9.jpeg,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,11.5,70,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,112.5
IMG_S34_E3,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S34_E3.jpeg,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,43.5,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,134
